Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
Masterpiece/Classic,,,video recording identifier,137157,"Vienna 1900, Episode 5 (Gift of Life)",,,,,,1975-03-09,105,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode137157.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON DISABILITIES,,,video recording identifier,285449,Estabrook Arithmetic,,,,,,,,,,,,,,,,,local,Original,general,,,,barcode285449.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,video recording identifier,285448,1974 Election,,,,,,,"Captioned
 FINAL AIR VERSION",,,,,,,,,,local,Original,general,,,,barcode285448.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett's Victory Garden,,,video recording identifier,137873,Victory Garden 261,,,,,,,"261
 
 House dub",,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode137873.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making Things Grow,,,video recording identifier,183997,Mea Culpa,,,,,,,#149,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode183997.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,144076,Repertoire Night,,,,,,,REPERTOIRE NIGHT,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144076.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,144077,Repertoire Night,,,,,,,REPERTOIRE NIGHT,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144077.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evening At Pops,,,video recording identifier,144079,Repertoire Night,,,,,,,REPERTOIRE NIGHT,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144079.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144085,THE CLUB,,,,,,,#3163 - 3164 - NOBLE/LUNA,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144085.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144086,THE CLUB,,,,,,,#3165 - 3168 FRINGE,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144086.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
